t com min rx ry rz
4.4 -1.823255 -2.731246 317.9335 354.2451 95.24154
4.42 -1.886526 -2.848835 316.4153 350.489 99.47675
4.44 -1.946002 -2.960839 315.152 346.4991 103.9411
4.46 -1.99715 -3.063036 314.2906 342.399 108.4801
4.48 -2.044028 -3.164475 314.256 338.5895 112.7867
4.5 -2.090637 -3.281671 315.8851 335.8589 116.357
4.52 -2.135305 -3.409573 318.1609 332.4297 120.3478
4.54 -2.174893 -3.521002 320.4389 329.8556 123.6352
4.56 -2.201569 -3.598995 322.0348 328.1292 126.3501
4.58 -2.223991 -3.671092 323.9505 327.0976 128.5701
4.6 -2.247435 -3.747606 326.6761 327.4812 129.9318
4.62 -2.264986 -3.80455 328.6779 327.7805 131.3125
4.64 -2.270562 -3.835493 329.9092 328.4601 132.51
4.66 -2.27055 -3.854575 330.6086 328.596 134.0557
4.68 -2.263525 -3.860564 330.9357 328.6856 135.629
4.7 -2.249612 -3.8486 330.5405 328.7023 137.1823
4.72 -2.223584 -3.803881 328.7769 328.498 138.8088
4.74 -2.191355 -3.759345 327.4897 326.9604 141.2068
4.76 -2.155737 -3.708221 326.1837 324.369 144.2554
4.78 -2.114657 -3.64332 324.6862 321.918 147.2691
4.8 -2.065846 -3.580554 324.0611 319.4961 150.3291
4.82 -2.012461 -3.516943 323.8538 317.537 153.1194
4.84 -1.946278 -3.442497 323.7616 317.0066 155.067
4.86 -1.873184 -3.362836 323.8991 316.2889 157.1259
4.88 -1.788572 -3.26722 324.0766 314.6048 159.7387
4.9 -1.700652 -3.166406 324.1947 313.3622 162.049
4.92 -1.610681 -3.050592 323.9858 310.96 165.0249
4.94 -1.505567 -2.907045 322.965 309.3525 167.5602
4.96 -1.390709 -2.750497 322.1147 307.2394 170.4517
4.98 -1.270434 -2.590854 321.5799 305.0306 173.3285
5 -1.14521 -2.416993 320.8791 302.2554 176.5187
5.02 -1.011602 -2.225194 319.7367 299.543 179.6728
5.04 -0.8739159 -2.110231 318.8599 296.2092 183.2493
5.06 -0.7298369 -1.998263 318.1474 292.4259 187.187
5.08 -0.576646 -1.876428 317.4768 287.7942 191.7233
5.1 -0.4161164 -1.740355 316.7778 282.7628 196.6111
5.12 -0.2506234 -1.587621 316.0759 278.2899 201.1778
5.14 -0.08032198 -1.422848 315.39 273.3564 206.1474
5.16 0.09287535 -1.248161 314.8432 268.3349 211.2748
5.18 0.2684023 -1.060582 314.2938 263.2805 216.5225
5.2 0.446128 -0.8572865 313.6471 257.9619 222.0583
5.22 0.6234045 -0.6447232 313.1137 252.5233 227.7624
5.24 0.7993651 -0.4227483 312.6534 247.006 233.5884
5.26 0.9722118 -0.197948 312.4983 241.4177 239.4973
5.28 1.141341 0.02773428 312.7038 235.8369 245.4017
5.3 1.306546 0.2531343 313.293 230.363 251.2
5.32 1.467828 0.4779208 314.2494 225.0833 256.8054
5.34 1.625185 0.7017469 315.5488 220.0669 262.1498
5.36 1.778618 0.9242518 317.1617 215.361 267.1869
5.38 1.928127 1.070253 319.0559 210.9913 271.8918
5.4 2.073712 1.108936 321.1992 206.9655 276.2581
5.42 2.215374 1.148816 323.5606 203.2772 280.293
5.44 2.353111 1.190409 326.1116 199.9105 284.0136
5.46 2.486924 1.234206 328.8263 196.8441 287.4423
5.48 2.616813 1.280658 331.6822 194.0539 290.6045
5.5 2.742778 1.330182 334.6596 191.5153 293.5262
5.52 2.86482 1.383155 337.7415 189.2045 296.2327
5.54 2.982937 1.439915 340.9132 187.0992 298.7482
5.56 3.09713 1.500757 344.1623 185.179 301.0947
5.58 3.207399 1.565934 347.4781 183.4259 303.2927
5.6 3.313745 1.635654 350.8515 181.8238 305.3606
5.62 3.416166 1.710083 354.2746 180.3587 307.3151
5.64 3.514663 1.789336 357.7406 179.0186 309.1714
5.66 3.609236 1.869147 1.243657 177.7934 310.9435
5.68 3.699885 1.945904 4.778676 176.6744 312.6442
5.7 3.786611 2.027536 8.341193 175.6549 314.2854
5.72 3.869412 2.114043 11.92728 174.7295 315.8784
5.74 3.948289 2.20538 15.53342 173.8943 317.4343
5.76 4.023242 2.301457 19.15646 173.147 318.9638
5.78 4.094272 2.402141 22.79353 172.4871 320.4781
5.8 4.161377 2.507255 26.44193 171.9157 321.989
5.82 4.224558 2.616585 30.09912 171.4361 323.5089
5.84 4.283815 2.729869 33.76262 171.0541 325.0522
5.86 4.339149 2.846813 37.42993 170.7787 326.6355
5.88 4.390558 2.967085 41.09842 170.6231 328.2789
5.9 4.438043 3.090319 44.76518 170.606 330.0075
5.92 4.481605 3.216112 48.42689 170.7541 331.8536
5.94 4.521242 3.344034 52.07946 171.1053 333.8605
5.96 4.556955 3.473626 55.71765 171.7145 336.088
5.98 4.588744 3.604406 59.33422 172.663 338.6218
6 4.61661 3.735865 62.91871 174.0744 341.5898
6.02 4.640551 3.867475 66.45502 176.144 345.1914
6.04 4.660568 3.998691 69.91656 179.1935 349.752
6.06 4.676661 4.128953 73.25623 183.777 355.8293
6.08 4.68883 4.221446 76.38403 190.8831 4.415175
6.1 4.697076 4.272433 79.11673 202.2343 17.23564
6.12 4.701397 4.323597 81.08551 220.109 36.57209
6.14 4.701794 4.374699 81.72934 244.1613 62.08193
6.16 4.698267 4.425476 80.77097 267.2925 86.66956
6.18 4.690817 4.327554 78.61196 283.643 104.4785
6.2 4.679442 4.199705 75.7933 293.9159 116.2147
6.22 4.664143 4.070442 72.63704 300.381 124.1514
6.24 4.64492 3.94031 69.30058 304.5841 129.8375
6.26 4.621774 3.809838 65.86201 307.399 134.1501
6.28 4.594703 3.679533 62.36278 309.3184 137.5851
6.3 4.563708 3.549881 58.82664 310.6307 140.4346
6.32 4.52879 3.421342 55.26821 311.5129 142.8793
6.34 4.489947 3.294353 51.69702 312.0781 145.036
6.36 4.44718 3.169318 48.11966 312.4011 146.9838
6.38 4.400489 3.046614 44.54102 312.5329 148.7781
6.4 4.349874 2.926585 40.96485 312.5091 150.4591
6.42 4.295336 2.809544 37.39421 312.3547 152.0571
6.44 4.236873 2.695765 33.83174 312.0877 153.5953
6.46 4.174487 2.58549 30.27983 311.7207 155.0925
6.48 4.108176 2.478923 26.74069 311.2626 156.5642
6.5 4.037941 2.376233 23.21653 310.7194 158.0234
6.52 3.963782 2.277549 19.70955 310.0947 159.4818
6.54 3.8857 2.182962 16.22205 309.3904 160.9497
6.56 3.803693 2.092526 12.75644 308.6064 162.4371
6.58 3.717762 2.006258 9.315357 307.7418 163.9535
6.6 3.627907 1.924132 5.901658 306.7938 165.5082
6.62 3.534129 1.846091 2.518517 305.7587 167.1108
6.64 3.436426 1.769137 359.1695 304.6315 168.7711
6.66 3.334799 1.68739 355.8585 303.406 170.4996
