t n fps
2.483053 25 315
2.486468 25 310
2.489191 25 320
2.492852 25 309
2.496178 25 308
2.499082 25 314
2.501885 25 322
2.505757 25 307
2.508806 25 311
2.511868 25 314
2.515069 25 313
2.518188 25 315
2.521634 25 309
2.525405 25 299
2.528802 25 298
2.531761 25 305
2.534674 25 312
2.537888 25 312
2.54119 26 310
2.544934 26 300
2.548496 26 296
2.551741 26 298
2.554748 26 304
2.557588 26 313
2.560522 26 318
2.564001 26 311
2.56692 26 317
2.570552 26 308
2.573816 26 307
2.576669 26 315
2.579714 26 317
2.582869 26 317
2.586876 26 301
2.592293 26 267
2.597344 26 249
2.600255 26 264
2.604129 26 263
2.607183 26 273
2.611086 26 270
2.614437 26 275
2.61795 26 277
2.620984 26 286
2.624636 26 283
2.627818 26 289
2.633367 26 258
2.636442 26 269
2.639423 26 280
2.642477 27 288
2.645981 27 287
2.648937 27 296
2.652045 27 301
2.654973 27 308
2.657954 27 313
2.660889 27 318
2.664819 27 303
2.66771 27 311
2.67087 27 312
2.673987 27 313
2.677224 27 312
2.680388 27 313
2.684249 27 300
2.687359 27 304
2.690547 27 306
2.69366 27 309
2.696805 27 311
2.700179 27 307
2.703947 27 298
2.706968 27 304
2.71035 27 302
2.713292 27 309
2.717028 27 300
2.720319 27 300
2.724124 27 292
2.727159 27 299
2.730187 27 304
2.733394 27 306
2.736267 27 313
2.739347 27 315
2.745082 27 271
2.751213 28 239
2.754231 28 253
2.757459 28 263
2.76063 28 272
2.764047 28 276
2.766822 28 289
2.769797 28 297
2.772975 28 301
2.776244 28 302
2.779464 28 303
2.782291 28 312
2.785738 28 307
2.78874 28 312
2.791997 28 311
2.795008 28 315
2.798699 28 305
2.80217 28 301
2.805993 28 292
2.808916 28 301
2.811982 28 306
2.816978 28 276
2.822081 28 255
2.825627 28 260
2.830478 28 247
2.836762 28 222
2.839772 28 238
2.843079 28 248
2.84785 28 239
2.850969 29 252
2.853717 29 269
2.856656 29 280
2.859587 29 291
2.862645 29 297
2.866347 29 291
2.869671 29 293
2.872578 29 302
2.875702 29 305
2.880466 29 280
2.884057 29 279
2.887198 29 286
2.890333 29 292
2.895663 29 263
2.900742 29 246
2.904237 29 253
2.907482 29 262
2.910456 29 274
2.913338 29 286
2.916133 29 298
2.918993 29 307
2.921813 29 316
2.925236 29 310
2.92809 29 318
2.931073 29 321
2.934092 29 323
2.936876 29 329
2.939839 29 331
2.942997 29 328
2.946538 29 317
2.949583 29 320
2.952545 30 323
2.955757 30 320
2.958993 30 318
2.962145 30 318
2.965667 30 310
2.968669 30 314
2.971602 30 319
2.97468 30 320
2.977611 30 324
2.980876 30 320
2.984906 30 303
2.988255 30 302
2.991731 30 299
2.994939 30 301
2.998998 30 288
3.001954 30 297
3.005597 30 292
3.008586 30 300
3.011823 30 301
3.014599 30 311
3.017453 30 318
3.020214 30 326
3.023341 30 325
3.026341 30 326
3.029411 30 326
3.032241 30 331
3.037345 30 291
3.040159 30 302
3.043836 30 295
3.049014 30 267
3.055273 30 235
3.059632 31 234
3.063513 31 238
3.06705 31 246
3.070524 31 253
3.073891 31 261
3.077039 31 270
3.080107 31 280
3.083645 31 280
3.086589 31 290
3.089583 31 298
3.092458 31 307
3.095371 31 313
3.098222 31 320
3.101173 31 324
3.104756 31 313
3.107793 31 316
3.110954 31 316
3.113847 31 322
3.116765 31 326
3.119683 31 329
3.122549 31 333
3.126065 31 322
3.128795 31 330
3.132001 31 326
3.134786 31 332
3.13779 31 332
3.140877 31 330
3.144734 31 313
3.147734 31 317
3.150782 31 319
3.153819 31 321
3.156792 31 324
3.159623 32 329
3.162562 32 331
3.165857 32 325
3.168794 32 328
3.171524 32 335
3.174462 32 336
3.177389 32 337
3.180399 32 336
3.184056 32 321
3.186938 32 326
3.190263 32 320
3.193367 32 321
3.196327 32 324
3.201303 32 288
3.206612 32 261
3.209587 32 273
3.212478 32 285
3.215385 32 295
3.218241 32 304
3.221193 32 311
3.225021 32 299
3.228352 32 299
3.231395 32 305
3.234462 32 309
3.239715 32 274
3.242619 32 286
3.246045 32 287
3.249042 32 295
3.251968 32 303
3.254783 32 312
3.257938 32 313
3.260816 33 319
3.264359 33 311
3.267222 33 318
3.270006 33 325
3.272856 33 330
3.27586 33 331
3.278834 33 332
3.281763 33 333
3.285224 33 323
3.290759 33 279
3.294055 33 283
3.297307 33 288
3.300209 33 298
3.303864 33 292
3.306992 33 297
3.309677 33 310
3.312429 33 319
3.315452 33 321
3.318268 33 327
3.321167 33 331
3.324689 33 320
3.327662 33 323
3.330874 33 321
3.333751 33 326
3.336753 33 327
3.339775 33 328
3.342737 33 329
3.346436 33 316
3.351476 33 282
3.356261 33 263
3.359105 33 277
3.362192 34 285
3.365793 34 284
3.368743 34 293
3.371842 34 299
3.374893 34 304
3.37776 34 312
3.381124 34 309
3.384859 34 299
3.387865 34 305
3.390734 34 313
3.393756 34 316
3.396968 34 315
3.400067 34 317
3.403497 34 311
3.406504 34 315
3.40943 34 320
3.412402 34 323
3.415406 34 325
3.418216 34 331
3.421086 34 334
3.42488 34 317
3.428403 34 310
3.431552 34 311
3.434619 34 314
3.439859 34 278
3.443003 34 285
3.446639 34 283
3.450126 34 283
3.453278 34 290
3.456339 34 296
3.459346 34 303
3.462775 35 300
3.466423 35 295
3.469605 35 298
3.472533 35 306
3.475599 35 310
3.478741 35 311
3.482121 35 308
3.486428 35 289
3.489572 35 294
3.492691 35 299
3.495666 35 306
3.498756 35 309
3.50383 35 277
3.509308 35 251
3.512029 35 268
3.515003 35 279
3.518172 35 286
3.521039 35 296
3.524752 35 290
3.527707 35 299
3.530627 35 307
3.533512 35 314
3.536566 35 316
3.539781 35 315
3.54282 35 318
3.546482 35 308
3.549553 35 311
3.552544 35 315
3.555913 35 311
3.559113 35 311
3.562123 35 315
3.56561 36 309
3.568626 36 313
3.571646 36 317
3.57447 36 323
3.577455 36 326
3.580323 36 330
3.583988 36 316
3.587034 36 319
3.590472 36 313
3.593347 36 319
3.596383 36 321
3.599463 36 322
3.602285 36 328
3.605805 36 318
3.608857 36 320
3.611716 36 325
3.614897 36 323
3.617949 36 324
3.621077 36 323
3.624711 36 312
3.627978 36 311
3.631446 36 306
3.634742 36 305
3.63971 36 276
3.643329 36 276
3.646967 36 276
3.649966 36 286
3.655232 36 259
3.660182 36 245
3.663952 36 249
3.667143 37 260
3.670055 37 273
3.673247 37 280
3.675977 37 294
3.679188 37 297
3.682042 37 306
3.68593 37 295
3.688812 37 304
3.691494 37 316
3.69469 37 315
3.697781 37 317
3.700871 37 318
3.70464 37 306
3.707561 37 312
3.710837 37 311
3.713812 37 315
3.716903 37 317
3.720066 37 317
3.723747 37 306
3.727107 37 304
3.73024 37 307
3.733202 37 313
3.736041 37 320
3.739434 37 314
3.742649 37 314
3.745893 37 312
3.74878 37 319
3.751832 37 320
3.754815 37 323
3.757496 37 332
3.760592 37 330
3.764316 37 315
3.767258 38 320
3.77011 38 326
3.773546 38 318
3.776602 38 320
3.779705 38 320
3.782759 38 321
3.786835 38 302
3.789773 38 309
3.792596 38 317
3.795844 38 315
3.799114 38 313
3.802658 38 306
3.809038 38 257
3.813654 38 248
3.816866 38 258
3.819856 38 270
3.822798 38 282
3.826171 38 285
3.828869 38 298
3.831901 38 304
3.834879 38 310
3.839792 38 280
3.842694 38 291
3.846744 38 281
3.849671 38 291
3.852489 38 302
3.855139 38 315
3.857931 38 322
3.860795 38 327
3.864377 38 316
3.867543 39 316
3.870438 39 321
3.873329 39 326
3.876356 39 327
3.879473 39 325
3.882385 39 329
3.886226 39 312
3.889432 39 312
3.892421 39 316
3.895309 39 322
3.898458 39 321
3.901636 39 319
3.905106 39 313
3.907899 39 321
3.910953 39 322
3.913786 39 328
3.916778 39 329
3.919752 39 330
3.922749 39 331
3.926307 39 319
3.929111 39 326
3.931927 39 331
3.934677 39 337
3.937554 39 339
3.940488 39 339
3.944257 39 321
3.947121 39 326
3.95001 39 330
3.953076 39 329
3.958076 39 291
3.963274 39 264
3.967172 39 262
3.970212 40 273
3.973061 40 286
3.976093 40 294
3.978998 40 303
3.981953 40 309
3.985492 40 303
3.988545 40 308
3.991569 40 312
3.994388 40 320
3.99726 40 325
4.00036 40 324
4.004109 40 311
4.00699 40 317
4.009849 40 323
4.012693 40 328
4.015385 40 336
4.018439 40 334
4.021267 40 338
4.024651 40 328
4.027607 40 330
4.030598 40 331
4.033378 40 336
4.036636 40 330
4.041642 40 292
4.045256 40 288
4.048056 40 300
4.051046 40 306
4.053821 40 316
4.056657 40 322
4.059476 40 328
4.062303 40 333
4.06592 40 320
4.069123 40 318
4.072121 41 321
4.074822 41 330
4.077776 41 331
4.080539 41 337
4.084564 41 314
4.08776 41 314
4.090959 41 314
4.093872 41 319
4.096901 41 321
4.10006 41 320
4.103851 41 307
4.108788 41 278
4.113464 41 262
4.116325 41 276
4.119085 41 290
4.12177 41 303
4.125196 41 301
4.128 41 310
4.131099 41 313
4.133863 41 321
4.136662 41 328
4.139374 41 335
4.142208 41 338
4.145718 41 326
4.148549 41 331
4.151358 41 336
4.154307 41 336
4.157168 41 339
4.160031 41 341
4.163357 41 332
4.166167 41 336
4.169018 41 339
4.171772 41 343
4.17482 42 340
4.177829 42 338
4.180661 42 341
4.184134 42 329
4.187215 42 328
4.190076 42 332
4.193139 42 331
4.196467 42 324
4.199653 42 322
4.202574 42 326
4.205965 42 319
4.208835 42 324
4.211806 42 327
4.214712 42 330
4.22051 42 279
4.224719 42 269
4.228134 42 274
4.231278 42 281
4.2341 42 293
4.236968 42 303
4.242204 42 271
4.245901 42 271
4.249026 42 279
4.251835 42 292
4.255284 42 291
4.260075 42 270
4.265777 42 243
4.268908 42 256
4.27185 42 269
4.274911 43 279
4.277743 43 291
4.280565 43 302
4.28387 43 302
4.286897 43 307
4.290079 43 308
4.293087 43 313
4.296249 43 313
4.29911 43 320
4.302158 43 321
4.305631 43 314
4.308492 43 320
4.311381 43 325
4.314233 43 330
4.3171 43 333
4.320036 43 335
4.323461 43 325
4.326458 43 327
4.329512 43 327
4.332438 43 330
4.335309 43 333
4.338116 43 337
4.34094 43 340
4.344287 43 331
4.347098 43 336
4.349974 43 338
4.353064 43 335
4.355877 43 339
4.358779 43 340
4.361959 43 334
4.365308 43 326
4.368376 43 326
4.371553 43 324
4.374674 43 323
4.377659 44 325
4.381004 44 319
4.384736 44 308
4.387477 44 317
4.390346 44 323
4.393116 44 330
4.395801 44 338
4.39882 44 336
4.402084 44 330
4.405936 44 313
4.411128 44 278
4.416173 44 257
4.419092 44 270
4.421885 44 284
4.425202 44 287
4.427971 44 300
4.43088 44 307
4.434025 44 309
4.436863 44 317
4.439748 44 322
4.445136 44 281
4.449499 44 269
4.452482 44 280
4.455184 44 294
4.457981 44 305
4.461014 44 309
4.464543 44 304
4.46755 44 309
4.470403 44 316
4.473629 44 315
4.476757 44 316
4.480014 45 314
4.483867 45 301
4.487009 45 304
4.490328 45 304
4.493623 45 303
4.496541 45 311
4.499403 45 318
4.502361 45 321
4.506334 45 304
4.5092 45 312
4.512011 45 320
4.51512 45 320
4.51801 45 325
4.521126 45 324
4.524614 45 316
4.527642 45 318
4.530698 45 320
4.53346 45 328
4.536289 45 332
4.539138 45 336
4.541944 45 340
4.545788 45 320
4.548765 45 323
4.551989 45 320
4.555176 45 319
4.558155 45 322
4.56324 45 285
4.568179 45 264
4.571074 45 277
4.573942 45 289
4.576793 45 299
4.579902 46 303
4.582829 46 310
4.586831 46 296
4.590131 46 297
4.593177 46 303
4.596078 46 310
4.598954 46 317
4.601788 46 323
4.605469 46 311
4.60831 46 319
4.611421 46 319
4.614216 46 326
4.61714 46 329
4.620054 46 332
4.623827 46 316
4.627116 46 313
4.629925 46 321
4.632726 46 327
4.635586 46 332
4.638268 46 339
4.641146 46 341
4.647082 46 283
4.650053 46 292
4.65346 46 292
4.656472 46 299
4.659451 46 306
4.662537 46 309
4.666508 46 296
4.669533 46 302
4.672594 46 306
4.675352 46 316
4.678405 46 318
4.681549 47 318
4.685609 47 300
4.688396 47 310
4.691228 47 318
4.694092 47 324
4.697232 47 323
4.700636 47 316
4.704327 47 306
4.707173 47 314
4.710371 47 314
4.715415 47 281
4.720358 47 260
4.723835 47 265
4.726724 47 278
4.729981 47 283
4.733031 47 291
4.736461 47 291
4.739392 47 300
4.743987 47 279
4.749665 47 249
4.7542 47 243
4.759829 47 226
4.76356 47 233
4.768093 47 231
4.772124 47 234
4.776015 47 238
4.779932 47 241
4.784067 48 241
4.792278 48 201
4.796124 48 211
4.799057 48 228
4.803614 48 226
4.807486 48 232
4.812414 48 225
4.815697 48 238
4.81892 48 249
4.822845 48 250
4.826491 48 255
4.829646 48 265
4.832546 48 278
4.835807 48 283
4.8392 48 285
4.842363 48 291
4.848732 48 248
4.853983 48 234
4.858158 48 235
4.862298 48 236
4.870086 48 202
4.876367 48 192
4.879328 48 210
4.882311 48 227
4.89361 49 172
4.8967 49 190
4.899698 49 208
4.902876 49 223
4.907391 49 223
4.910263 49 240
4.913148 49 256
4.916173 49 268
4.919189 49 278
4.922278 49 286
4.925968 49 283
4.928986 49 291
4.932089 49 297
4.934872 49 308
4.937853 49 313
4.940948 49 315
4.94451 49 307
4.9478 49 306
4.951453 49 299
4.955195 49 292
4.958374 49 296
4.961334 49 304
4.964585 49 304
4.96723 49 317
4.969958 49 325
4.973043 49 325
4.976164 49 324
4.979323 49 322
4.982474 49 321
4.986125 50 310
4.989065 50 316
4.992033 50 320
4.994862 50 326
4.99767 50 331
5.000678 50 332
5.005354 50 298
5.009281 50 288
5.013506 50 276
5.019533 50 244
5.02476 50 231
5.028212 50 241
5.031152 50 255
5.033973 50 271
5.036747 50 285
5.039624 50 295
5.042592 50 303
5.048437 50 262
5.051238 50 277
5.054389 50 284
5.057191 50 296
5.060057 50 305
5.063465 50 303
5.066295 50 312
5.069154 50 318
