t n fps
8.102466 50 27
8.140115 50 27
8.176414 50 27
8.195382 50 30
8.214492 50 33
8.233665 50 35
8.252664 50 38
8.270819 50 40
8.291307 50 42
8.309431 50 44
8.336164 50 42
8.355906 50 44
8.37758 50 44
8.398186 50 45
8.4188 50 45
8.438081 50 46
8.45486 50 49
8.473598 50 49
8.491109 50 51
8.509994 50 51
8.53025 50 51
8.549298 50 51
8.566412 50 52
8.584331 50 53
8.601657 50 54
8.620273 50 53
8.640059 50 53
8.661259 50 51
8.680012 50 52
8.700911 50 51
8.718906 50 52
8.723592 50 61
8.740739 50 60
8.758906 50 59
8.761533 50 71
8.780292 50 66
8.799495 50 63
8.801847 50 76
8.819191 50 71
8.821552 50 85
8.840903 50 75
8.858489 50 71
8.861847 50 83
8.883302 50 72
8.903146 50 66
8.924743 50 61
8.948524 50 56
8.967216 50 55
8.988251 50 53
9.007094 50 53
9.025888 50 53
9.04394 50 53
9.065783 50 52
9.084005 50 52
9.103816 50 52
9.123316 50 51
9.143175 50 51
9.166259 50 49
9.187175 50 49
9.209039 50 48
9.230049 50 48
9.247617 50 49
9.266734 50 50
9.28469 50 51
9.303707 50 51
9.322947 50 51
9.340998 50 52
9.360876 50 51
9.380266 50 51
9.399721 50 51
9.40258 50 62
9.421467 50 60
9.443505 50 56
9.464359 50 54
9.486619 50 52
9.507143 50 51
9.524501 50 52
9.542944 50 52
9.559908 50 54
9.562906 50 64
9.58406 50 60
9.601613 50 59
9.621255 50 57
9.639441 50 57
9.64319 50 67
9.661606 50 64
9.678256 50 63
9.680767 50 76
9.699764 50 70
9.704445 50 81
9.724248 50 72
9.745337 50 65
9.769988 50 58
9.789672 50 56
9.807919 50 56
9.825309 50 56
9.844997 50 55
9.863047 50 55
9.88216 50 54
9.903556 50 52
9.926735 50 50
9.947339 50 50
9.967266 50 50
9.9883 50 49
10.01008 50 48
